"사이트 아이디","ASP 아이디","강의 아이디","강의 구분","강의 명","수강신청 시작 일자","수강신청 종료 일자","강의 시작 일자","강의 종료 일자","강의대상","정원","수강신청 URL","등록 일자","수정 일자","교육기관 고유아이디","교육기관명","교육기관 자치구","교육기관 위도 좌표","교육기관 경도 좌표"
"lc1","ASP00001","ASP00001J404020240110564","오프라인","민화 그리기(수채화)","202405011200","202407011800","20240624","20240715","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141686&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=08&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EB%AF%BC%ED%99%94&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110565","오프라인","나를 세우는 글쓰기","202405011200","202406241800","20240617","20240722","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100139130&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=08&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=2","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110566","오프라인","미용헤어컷-야간","202405011200","202406241800","20240617","20240729","","15","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141796&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EB%AF%B8%EC%9A%A9&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110567","오프라인","미용헤어컷-주말반 ","202405011200","202407021800","20240625","20240803","","15","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141797&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EB%AF%B8%EC%9A%A9&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110568","오프라인","스마트폰+컴퓨터 초보탈출","202405011200","202406221800","20240615","20240720","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100142150&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=08&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=2","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110569","오프라인","쉽게 배워서 바로 활용하는 엑셀기초","202405011200","202406251800","20240618","20240704","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141560&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=08&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=2","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110570","오프라인","쉽게 배워서 바로 쓰는 한글문서작성","202405011200","202407161800","20240709","20240725","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141498&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=08&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=3","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404820240110627","오프라인","밑반찬메뉴(한식조리향상)","202401010000","202408311800","20240907","20241109","","12","https://www.vocation.or.kr/SBusiness/CourseInfo.aspx?p=4&list=Course&cop=WWdYNTJmeSs4T2Y4dnNkZU9QdEhXdz09&cen=cVFoY1J1VFVXYWd5emhTQ1dIcVY3dz09&scen=cVFoY1J1VFVXYWd5emhTQ1dIcVY3dz09","20240605114500","20240605114500","J4048","영등포여성인력개발센터","영등포구 ","37.5218647","126.904596"
"lc1","ASP00001","ASP00001J404020240110572","오프라인","요양보호사 자격증 취득과정(사회복지사/오후반)","202405010900","202407081100","20240708","20240726","","30","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectCareWorker.do?sch_class_code=C100142765&returnUrl=%2Fjungnang%2Fedu%2FselectPageListCareWorker.do&edust=&sch_course_code=23&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110577","오프라인","제과기능사 취득(실기)","202404220000","202406201800","20240619","20240828","","15","https://zrr.kr/Girx","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
