강의 명,강의 카테고리명
사회복지사1급 자격증 핵심이론 대비반(전과목 대비),사회/교양
[여성가족부 전액지원] 고숙련 간호전문인력 취업실무과정,사회/교양
[여성가족부 전액지원] 고숙련 간호전문인력 취업실무과정,사회/교양
[서울시 전액지원] RPA(로봇프로세스자동화) 개발자 양성과정,사회/교양
[서울시 전액지원] RPA(로봇프로세스자동화) 개발자 양성과정,사회/교양
(화목 오후) 캘리그라피 입문+디자인(붓글씨 손글씨) 3회차,콘텐츠산업 전문과정
(월수금 오후)정리수납전문가 실무향상과정(2급) 5회차,사회/교양
(월수금 오후)정리수납전문가 실무향상과정(2급) 5회차,사회/교양
직업상담사1급 2차(실기) 대비반(수금 저녁),사회/교양
(평일오후)SCA커피바리스타 실무과정+자격증취득(파운인터 프로) 5회차,사회/교양
(평일오후)그래픽디자인 기초 GTQ(포토샵) GTQi(일러스트)자격증 취득 2회차,사회/교양
(월수금 오후)디지털비지니스 [카카오 라인 이모티콘] 제작 5회차,콘텐츠산업 전문과정
(평일오전)SNS 온라인마케팅(블로그 인스타그램 유투브)과정 6회차,사회/교양
(평일오후)디지털 출판편집디자인(포토샵 일러스트 인디자인 포트폴리오) 2회차,사회/교양
동화구연3급지도사 3회차,사회/교양
"(리더십/인사조직,콘텐츠산업전문과정,공인중개사)직업상담사 현장실무",직업상담사
(중랑구립정보도서관)서울시 자전거 및 개인형 이동장치(PM) 안전교육,사회/교양
(시립성동청소년센터)서울시 자전거 및 개인형 이동장치(PM) 안전교육,사회/교양
(에너지드림센터)서울시 자전거 및 개인형 이동장치(PM) 안전교육,사회/교양
(서울시민청)서울시 자전거 및 개인형 이동장치(PM) 안전교육,사회/교양
(서울청년센터/동대문)서울시 자전거 및 개인형 이동장치(PM) 안전교육,사회/교양
(중급)붓펜으로 쓰는 캘리그라피,사회/교양
커피 바리스타 2급 자격 취득(이론실기),사회/교양
커피 바리스타 2급 자격 취득(이론실기),사회/교양
한식조리기능사 자격 취득(이론+실기),사회/교양
한식 디저트(한과/강정/떡),사회/교양
집밥요리(밑반찬),사회/교양
집밥요리(밑반찬),사회/교양
떡제조기능사 자격 취득(이론실기),사회/교양
떡제조기능사 자격 취득(이론실기),사회/교양
"(화목 오후) 캘리그라피 입문+디자인(붓글씨, 손글씨) 2회차",콘텐츠산업 전문과정
(월수금 오후)정리수납전문가1급(이론대비),사회/교양
"(월수금 오후)디지털비지니스 [카카오, 라인 이모티콘] 제작 4회차",콘텐츠산업 전문과정
"(오후)그래픽디자인 기초 GTQ(포토샵), GTQi(일러스트)자격증 취득 1회차",사회/교양
"(평일오후)SCA커피바리스타 실무과정+자격증취득(파운,인터, 프로) 3회차",사회/교양
"(평일오전)SCA커피바리스타 실무과정+자격증취득(파운,인터, 프로) 4회차",사회/교양
(오전)SCA커피바리스타 <로스팅> 초급+중급 1회차,사회/교양
캘리그라피 2회차,사회/교양
"(평일오전)디지털 출판편집디자인(포토샵, 일러스트, 인디자인, 포트폴리오) 1회차",사회/교양
(평일오전)쇼핑몰(스마트스토어) 운영 및 마케팅기초 4회차,사회/교양
베이비시터 5회차,사회/교양
도형심리상담사 1회차,사회/교양
종이접기 1회차,사회/교양
종이접기 1회차,사회/교양
종이접기 1회차,사회/교양
전래오감놀이지도사 1회차,사회/교양
(오전)SCA커피바리스타 <스킬> 초급+중급 1회차,사회/교양
(오전)SCA커피바리스타 <브루잉> 초급+중급 1회차,사회/교양
엑셀기초과정,사회/교양
플라워디자인(프리저브드),사회/교양
떡제조기능사 자격 취득(이론 실기),사회/교양
떡제조기능사 자격 취득(이론 실기),사회/교양
한식 디저트(한과 강정 떡),사회/교양
한식 디저트(한과 강정 떡),사회/교양
한식조리기능사(이론 실기)와 한식조리실무,사회/교양
혼밥요리(야식 술안주),사회/교양
커피 바리스타(핸드드립),사회/교양
베이비시터(8월),사회/교양
베이비시터(10월),사회/교양
베이비시터(12월),사회/교양
(화목 야간)미리캔버스를 활용한 광고디자인(일러스트 기초 포함) 1회차,사회/교양
"(평일 오후)그래픽디자인 기초 GTQ(포토샵),GTQi(일러스트)자격증 취득 1회차",사회/교양
"(월~금 오후)디지털비지니스 [카카오, 라인 이모티콘] 제작 4회차",콘텐츠산업 전문과정
스마트폰교육 강사 1회차,사회/교양
"(월~금 오전)디지털비지니스 [카카오, 라인 이모티콘] 제작 3회차",콘텐츠산업 전문과정
"(월수금 야간)디지털비지니스 [카카오, 라인 이모티콘] 제작 2회차",콘텐츠산업 전문과정
사회복지시설정보시스템 활용 2회차,콘텐츠산업 전문과정
실버인지여가교육지도사 2회차,사회/교양
스마트폰기초활용 1회차,사회/교양
스마트폰기초활용 1회차,사회/교양
SCA커피바리스타 초급 1회차,사회/교양
SCA커피바리스타 초급 1회차,사회/교양
베이비시터 아이돌봄 3회차,사회/교양
실버건강체육지도사 1회차,사회/교양
(야간)컴퓨터기초활용 1회차,사회/교양
(월수금 오후)정리수납전문가 실무향상과정(정리수납전문가 2급자격증) 2회차,사회/교양
(과정평가형 자격)직업상담사 2급자격증 취득과정 1회차,직업상담사
(평일오전) SCA자격증 취득+커피바리스타 실무 심화과정 2회차,사회/교양
챗GPT 왕초보활용 1회차,사회/교양
"(평일오전)디지털 출판편집디자인(포토샵,일러스트,인디자인,포폴) 1회차",사회/교양
"(평일 오전)SNS 온라인마케팅(블로그, 인스타그램, 유튜브)과정 3회차",사회/교양
"(화목 오후)캘리그라피 입문+디자인(붓글씨,손글씨) 1회차",콘텐츠산업 전문과정
(평일오전) 보험총무사무원 양성과정 1회차,사회/교양
(평일오전) 보험총무사무원 양성과정 1회차,사회/교양
"웃음,레크레이션지도사",사회/교양
"(평일오후) SNS 온라인마케팅(블로그, 인스타그램, 유튜브)과정",사회/교양
컵타지도사 1회차,사회/교양
"[야간] 내 안의 빛을 찾다, 타로심리상담사 1회차",사회/교양
정리수납 실무 향상과정(정리수납전문가 2급자격증),사회/교양
"캘리그라피 입문+디자인(붓글씨,손글씨)",콘텐츠산업 전문과정
실버인지여가교육지도사 과정(인지활동),공인중개사 연수교육
(평일오후)정리수납전문가1급 (이론대비) 1회차,사회/교양
베이비시터 아이돌봄 과정1,사회/교양
[야간] 컴퓨터기초활용 1회차,사회/교양
"(월수금 야간) 디지털비지니스 [카카오, 라인, 이모티콘] 제작 2회차",콘텐츠산업 전문과정
"(월~금 오전) 디지털비지니스 [카카오, 라인, 이모티콘] 제작 1회차",콘텐츠산업 전문과정
"디지털 출판편집디자인(포토샵,일러스트,인디자인,포폴)",사회/교양
"그래픽디자인 기초 GTQ(포토샵),GTQi(일러스트)자격증 취득",사회/교양
동화구연 3급 지도사/교구만들기 1회차,기타
(평일야간)정리수납전문가1급 (이론대비) 2회차,사회/교양
(평일오전) 쇼핑몰(스마트스토어)운영 및 마케팅기초 1회차,사회/교양
[평생교육바우처 지원] 부부가 함께 하는 아르헨티나 땅고,사회/교양
AI인공지능을 활용한 블로그운영,사회/교양
누구나 작가가 될 수 있다,사회/교양
돈버는 수익형 전자책만들기,사회/교양
바리스타2급 양성과정,사회/교양
"기후위기와 인권, 그리고 새로운 사회로 전환",인권
2024년 서울시 온라인 예산학교,사회/교양
"두 마리 토끼를 잡아라, 서울시 일?생활 균형 온라인 교육",사회/교양
직업상담사 필기 - 노동관계법규,직업상담사
직업상담사 필기 - 노동시장론,직업상담사
직업상담사 필기 - 직업정보론,직업상담사
직업상담사 필기 - 직업심리학,직업상담사
직업상담사 필기 - 직업상담학,직업상담사
한글 2022 제대로 배우기 완전정복편,전문기술과정
일잘러의 진짜 엑셀 완전정복편,전문기술과정
[오늘부터 정시퇴근] 파워포인트 실무 테크닉 완전정복편,전문기술과정
2024년 서울특별시의회 의정모니터 교육,기타
김경일 교수의 변화를 이끌어 내는 마음리더십,셀프브랜딩
[켄블랜차드의 SLⅡ리더십] 영감을 주는 리더로 거듭나다,리더십/인사조직
"미라클, 스포츠 명가에게 배운다",리더십/인사조직
[북콘서트] 인생을 바꾸는 커리어 멘토링,셀프브랜딩
팀워크로 승리하라,리더십/인사조직
슬기로운 리더생활: MZ세대 맞춤형 코칭,리더십/인사조직
[Z세대 PICK] 하마터면 꼰대가 될 뻔했다,리더십/인사조직
코칭 포유_끌리는 리더의 Coaching Secret,리더십/인사조직
[강점리더십] 몰입을 이끄는 강점 활용법,셀프브랜딩
마음을 끌어당기는 공감 커뮤니케이션,셀프브랜딩
박문각 공인중개사 2차 - 기본이론 - 부동산세법,공인중개사
직업상담사 문제풀이 - 노동관계법규,직업상담사
박문각 공인중개사 2차 - 기본이론 - 부동산공시법,공인중개사
직업상담사 문제풀이 - 노동시장론,직업상담사
직업상담사 문제풀이 - 직업정보론,직업상담사
박문각 공인중개사 2차 - 기본이론 - 부동산중개사법 및 중개실무,공인중개사
박문각 공인중개사 1차 - 기본이론 - 민법 및 민사특별법,공인중개사
박문각 공인중개사 2차 - 기본이론 - 부동산공법,공인중개사
박문각 공인중개사 1차 - 기본이론 - 부동산학개론,공인중개사
직업상담사 이론 - 2차 직업상담실무,직업상담사
직업상담사 문제풀이 - 직업상담학,직업상담사
직업상담사 문제풀이 - 직업심리학,직업상담사
박문각 주택관리사 - 기본 - 공동주택 관리실무,주택관리사
직장 내 장애인 인식개선 교육(한국장애인고용공단 제작 및 지정 콘텐츠),인권
"대답해드림 - 궁궐도시, 서울",인문학
[집콕강좌] 서울 사람들의 여가생활,인문학
